"Mês","Turno","Turma","Material","VarConsumo_Quimica","VarConsumo_Eletrica","VarTempoProcesso"
"10",2,1,1,2.86837640302793,12.163733935234236,1.6375
"10",2,1,1,3.2402720513091587,13.88344744811975,1.2675
"10",2,1,1,2.8507429939164255,12.759666547380895,2.05
"10",0,2,1,2.9782171756721483,12.206918789442167,3.08375
"10",0,2,1,3.193930240920532,13.744526936988386,1.35
"10",0,2,1,3.2004472453750763,13.285818494911688,2.21875
"10",0,2,1,2.953391831412764,12.922644478025907,0.97125
"10",1,3,1,3.406421299921692,12.90363443733014,1.1125
"10",0,2,1,3.0008483424693293,12.405569118798654,1.59375
"10",0,2,1,2.964265204907335,12.59270348703303,1.2725
"10",1,3,1,3.0406551814147744,12.278893546455388,1.295
"10",1,3,3,3.0356336438046854,13.149374906609554,1.36625
"10",1,3,3,3.116412674048898,12.395441676286785,2.05625
"10",2,1,5,2.834585522185879,12.334342003230077,1.13375
"10",2,1,5,2.704191616766467,11.520849703308315,0.925
"10",2,1,5,3.162808322998484,13.207329231816745,2.3625
"10",2,1,5,2.655731042763462,10.75470365480634,1.51
"10",0,0,6,3.576628835645229,14.48166105832451,1.51
"10",2,1,5,3.1019312988353236,14.871738168951792,1.86125
"10",0,0,6,3.1680503399979703,12.796938525740146,1.22875
"10",0,0,6,3.088418140787654,13.289570031987463,1.22875
"10",0,0,6,2.892790689806827,12.943206309216064,1.5
"10",0,0,6,3.0433811158220605,12.493913373950429,0.82125
"10",0,0,6,3.1049607275733773,13.809182209469153,1.68125
"10",0,0,6,2.870408506628979,13.26290661631097,1.4675
"10",0,0,6,3.2945967884242098,13.464951888643228,1.735
"10",1,3,2,3.061790722761596,11.767878672504601,1.2375
"10",2,1,2,3.124404108905954,11.90022234085616,1.6275
"10",2,1,2,3.1518060401029,12.891550530773678,1.73375
"10",2,1,2,2.86086602968083,13.12437965631465,1.6475
"10",2,1,2,3.2928915091143187,12.834387668464418,2.01875
"10",2,1,2,3.9165242165242162,15.225185890820566,2.80625
"10",2,1,2,3.1582435454360644,12.992836898939288,1.22125
"10",2,1,2,3.1179738870536418,12.775171418260555,2.40875
"10",0,0,6,3.1726104493011915,12.362265983215348,1.6475
"10",2,1,2,3.1335637324659484,13.737249321358957,1.40875
"10",2,1,2,2.9169309427574532,12.698664293160522,1.64375
"10",0,0,6,3.419438082149947,14.345477082266715,1.2025
"10",0,0,6,3.160066987935336,13.395576624990198,2.04625
"10",0,0,6,3.2721354943488783,12.639718311506766,1.87375
"10",0,0,0,3.3496476233318337,14.36850043661189,1.86
"10",0,0,2,3.0933845907416306,12.174576702377252,1.3125
"10",1,3,2,3.243123566370799,12.369543409265573,0.8775
"10",1,3,2,3.0951006302093926,13.363548306088038,1.165
"10",1,3,2,3.215152516242704,13.40549434177371,1.135
"10",1,3,2,3.2753763070205677,13.004305479516868,1.235
"10",1,3,2,2.907913363103375,11.238816131574293,1.515
"10",2,2,2,3.3338031845471154,12.624372380118846,2.5475
"10",2,2,2,3.7830259409206777,14.275885792913655,2.8025
"10",2,2,6,3.4414637681159417,14.597186700767264,2.3875
"10",2,2,6,3.002584561469383,11.664761652337646,1.93375
"10",2,2,6,2.825856360835218,12.67982854465417,1.365
"10",0,0,6,3.9284965558550464,13.820622588658104,2.25375
"10",0,0,0,3.4528667582901647,13.006598135606922,1.895
"10",0,0,0,3.268577624178356,12.341102328306805,1.85875
"10",0,0,0,2.987666186128464,12.1406563586511,1.0325
"10",0,0,0,3.3438331535418913,14.03642363094105,1.5875
"10",0,0,1,3.05225994443315,13.387465171065378,1.1
"10",0,0,1,3.3799767417274555,14.094886289434898,1.0925
"09",1,1,0,3.092052781526466,12.721282845121854,3.37125
"09",0,0,7,3.3671857094708457,13.349788853863082,1.59625
"09",0,0,7,3.495997195934105,13.787344590833179,1.31
"09",0,0,7,3.142694158075601,12.25591267434809,2.35
"09",0,0,7,2.985433300876339,12.732688011913625,0.94625
"09",0,0,7,3.030508236943568,12.701799962887364,1.2875
"09",0,0,7,2.9102380952380957,11.89892623716153,1.40375
"09",1,1,7,3.1063780068728524,12.637962401455427,2.05875
"09",1,1,7,3.005744536252102,13.03472349343214,1.08375
"09",1,1,7,3.240728008088978,13.013739368345924,1.86625
"09",1,1,7,3.0673807205452777,12.122687439143135,1.4375
"09",2,2,2,3.8640928415488913,14.274996451527871,1.215
"09",1,1,7,3.5552891692954782,13.82136450794829,1.5125
"09",2,2,2,3.3354759135919934,13.26156850307519,2.4725
"09",2,2,7,2.7864754620777568,12.194916207400743,2.275
