"","X.2","X.1","X","algorithm","replicate","instance","group","result"
"557",557,557,557,1,14,146,34,11235016.496586
"558",558,558,558,2,12,58,14,4053055.09028407
"559",559,559,559,2,24,23,6,36983.1035769955
"560",560,560,560,1,15,70,16,3194989.90721576
"561",561,561,561,1,5,139,32,11087182.2504609
"562",562,562,562,2,7,69,16,4653915.46176959
"563",563,563,563,1,16,103,24,6154650.8633769
"564",564,564,564,2,14,59,14,3724294.64117701
"565",565,565,565,2,6,83,19,5012545.09102751
"566",566,566,566,1,22,38,9,1459870.76232533
"567",567,567,567,2,8,45,11,1253432.90062678
"568",568,568,568,2,17,149,34,10569599.1935809
"569",569,569,569,1,5,15,4,176051.656640408
"570",570,570,570,2,10,121,28,7290027.78868205
"571",571,571,571,2,19,59,14,3427111.12092167
"572",572,572,572,1,7,116,27,8884352.11334234
"573",573,573,573,2,4,73,17,4738732.33389505
"574",574,574,574,2,21,67,16,3879388.82039746
"575",575,575,575,1,22,68,16,3810295.04066822
"576",576,576,576,2,29,29,7,332431.467285369
"577",577,577,577,2,26,33,8,322115.582578713
"578",578,578,578,2,14,115,27,8782679.30643664
"579",579,579,579,2,27,25,6,169071.515147332
"580",580,580,580,1,17,110,26,7898241.42774381
"581",581,581,581,1,18,148,34,11606706.7675892
"582",582,582,582,2,8,25,6,197425.959483182
"583",583,583,583,2,6,17,4,4994.73714205563
"584",584,584,584,2,8,41,10,1210770.25461328
"585",585,585,585,2,24,18,5,22706.4900555655
"586",586,586,586,1,21,42,10,1513550.21993853
"587",587,587,587,1,14,54,13,2973394.14948596
"588",588,588,588,1,20,142,33,10356072.8011397
"589",589,589,589,1,14,65,15,3771400.05998718
"590",590,590,590,2,13,131,30,9615597.30220371
"591",591,591,591,1,16,98,23,6617080.7437124
"592",592,592,592,1,14,147,34,10124746.868165
"593",593,593,593,2,23,8,2,4.34017010453533
"594",594,594,594,2,2,36,9,507401.588759802
"595",595,595,595,2,26,3,1,3.8554281827501e-22
"596",596,596,596,1,30,141,33,10472385.0838479
"597",597,597,597,1,26,46,11,2459842.68922706
