"","algorithm","replicate","instance","group","result"
"969",2,12,121,28,8237926.10903358
"970",1,28,20,5,398863.210106137
"971",1,2,135,31,8656552.2332237
"972",1,8,108,25,7076593.38060968
"973",2,1,61,14,3320956.09224487
"974",2,11,113,26,7903075.06339306
"975",1,7,21,5,302003.599608052
"976",1,25,2,1,0.039127031021938
"977",2,22,130,30,8811090.71246335
"978",1,14,70,16,3986156.25949377
"979",2,16,48,11,1399829.91950394
"980",2,23,11,3,18.1997724089407
"981",1,10,103,24,8022380.01006257
"982",2,7,50,12,1131360.93813465
"983",1,5,95,22,6798175.85929958
"984",1,20,130,30,9511341.31340901
"985",2,17,53,13,3467810.1921513
"986",2,28,120,28,8889296.26755337
"987",1,21,124,29,9591783.37474053
"988",2,5,84,20,4839299.88952571
"989",2,7,14,4,52.5968905578689
"990",2,23,17,4,371.583459866031
"991",2,20,76,18,4055270.80886512
"992",1,24,39,9,1395043.07366916
"993",2,7,104,24,7346082.55810631
"994",2,3,56,13,3087677.9085612
"995",2,14,127,29,8499814.56088173
"996",1,8,124,29,9376568.60817269
"997",1,20,7,2,630.066244410565
"998",1,7,54,13,3350161.85094648
"999",1,1,70,16,4831135.74552721
"1000",1,14,11,3,27121.0585197952
"1001",2,22,67,16,4458816.4803233
"1002",1,29,131,30,8472060.29223719
"1003",2,18,126,29,9877944.07529097
"1004",1,30,49,12,2220200.78483529
"1005",1,2,27,7,614521.211305906
"1006",1,18,84,20,4918530.74568947
"1007",2,28,104,24,5893893.8318461
"1008",1,9,28,7,691230.401852774
"1009",1,15,46,11,2032723.88339683
"1010",2,28,119,28,9038327.38801001
"1011",2,14,99,23,6709971.09748522
"1012",1,23,90,21,5259865.06175664
"1013",2,25,6,2,3.97396516647224
"1014",2,29,5,2,2.3557191107691e-07
"1015",1,19,90,21,6522464.98881689
"1016",2,5,7,2,4.28602164797147
"1017",2,3,145,34,10005030.820871
"1018",1,8,7,2,603.382564228729
"1019",2,20,46,11,562920.173045715
"1020",1,19,21,5,389181.622244541
"1021",1,15,115,27,8888567.77162286
"1022",2,4,89,21,4745426.33095903
"1023",1,25,111,26,8134884.63518981
"1024",2,29,8,2,4.09115563807259
"1025",2,14,122,28,9474791.15416812
