"","X.1","X","algorithm","replicate","instance","group","result"
"1641",1641,31,1,1,126,31,10220282.3070845
"1642",1642,32,1,1,130,32,9343988.1930802
"1643",1643,33,1,1,134,33,9486873.59701849
"1644",1644,34,1,1,138,34,10807106.1388701
"1645",1645,35,1,1,142,35,10847110.7053824
"1646",1646,1,2,1,6,1,0.0987270309843899
"1647",1647,2,2,1,10,2,112.171233699019
"1648",1648,3,2,1,14,3,887.307235182919
"1649",1649,4,2,1,18,4,2655.94145326413
"1650",1650,5,2,1,22,5,240591.694326655
"1651",1651,6,2,1,26,6,114419.931791881
"1652",1652,7,2,1,30,7,483694.141941389
"1653",1653,8,2,1,34,8,595752.687721784
"1654",1654,9,2,1,38,9,839078.497579255
"1655",1655,10,2,1,42,10,643622.642345988
"1656",1656,11,2,1,46,11,865062.146765902
"1657",1657,12,2,1,50,12,2497049.79818067
"1658",1658,13,2,1,54,13,1784770.89379378
"1659",1659,14,2,1,58,14,3112380.36493403
"1660",1660,15,2,1,62,15,3513236.58870315
"1661",1661,16,2,1,66,16,4340282.33379954
"1662",1662,17,2,1,70,17,4987682.63328942
"1663",1663,18,2,1,74,18,3846032.47014738
"1664",1664,19,2,1,78,19,4196305.24145304
"1665",1665,20,2,1,82,20,6116429.21713913
"1666",1666,21,2,1,86,21,5301972.40966017
"1667",1667,22,2,1,90,22,4293337.96636344
"1668",1668,23,2,1,94,23,5599935.58302686
"1669",1669,24,2,1,98,24,6416618.16218574
"1670",1670,25,2,1,102,25,6631028.2848674
"1671",1671,26,2,1,106,26,7512417.52704742
"1672",1672,27,2,1,110,27,7618917.68599351
"1673",1673,28,2,1,114,28,7598708.37957638
"1674",1674,29,2,1,118,29,9589916.79877108
"1675",1675,30,2,1,122,30,8849837.74066908
"1676",1676,31,2,1,126,31,9864902.40738068
"1677",1677,32,2,1,130,32,10067175.5107712
"1678",1678,33,2,1,134,33,10824070.1907781
"1679",1679,34,2,1,138,34,8713491.44958253
"1680",1680,35,2,1,142,35,11541702.4180879
"1681",1681,1,1,1,6,1,523.246086946747
"1682",1682,2,1,1,10,2,18450.3220723292
"1683",1683,3,1,1,14,3,138480.514543619
"1684",1684,4,1,1,18,4,217848.979132398
"1685",1685,5,1,1,22,5,452858.553099714
"1686",1686,6,1,1,26,6,694496.53636446
"1687",1687,7,1,1,30,7,965731.659238242
"1688",1688,8,1,1,34,8,916886.642013443
"1689",1689,9,1,1,38,9,1532737.34326864
"1690",1690,10,1,1,42,10,2249435.20114341
"1691",1691,11,1,1,46,11,2621232.3412189
"1692",1692,12,1,1,50,12,2830613.73242851
"1693",1693,13,1,1,54,13,2695027.48416053
"1694",1694,14,1,1,58,14,2988059.85291679
"1695",1695,15,1,1,62,15,3762460.55863602
"1696",1696,16,1,1,66,16,3293734.64253217
"1697",1697,17,1,1,70,17,4557639.95493338
"1698",1698,18,1,1,74,18,4904460.37306016
