"","X","algorithm","replicate","instance","group","result"
"565",565,1,29,37,9,1315886.80632455
"566",566,2,28,53,13,2492002.2229052
"567",567,2,7,83,19,5159489.20521859
"568",568,1,24,119,28,7461125.67396556
"569",569,2,7,122,28,9378808.02362651
"570",570,1,19,35,8,1304636.88360705
"571",571,1,23,111,26,8468325.29363357
"572",572,2,27,109,25,7831839.39675614
"573",573,1,5,89,21,5513180.78553035
"574",574,2,7,77,18,5168642.68458798
"575",575,2,7,48,11,2196279.08457592
"576",576,2,28,29,7,361893.966245885
"577",577,2,8,6,2,0.204456773845965
"578",578,1,30,114,27,8322247.0361076
"579",579,2,21,47,11,1567799.84078459
"580",580,2,17,117,27,7664406.52895722
"581",581,1,14,39,9,1205891.22283626
"582",582,1,22,122,28,9765523.86980601
"583",583,2,12,142,33,11438574.9957679
"584",584,2,21,56,13,3328328.13957048
"585",585,1,21,26,6,572666.021746601
"586",586,2,22,106,25,7244455.79372259
"587",587,1,17,75,18,4343029.86536379
"588",588,2,26,20,5,7591.88514718581
"589",589,2,6,127,29,9279331.04674998
"590",590,1,15,129,30,9857873.49082152
"591",591,1,18,37,9,1668376.98692653
"592",592,2,9,121,28,9013218.49573905
"593",593,2,19,52,12,2958102.38116732
"594",594,2,21,137,32,10945217.2843891
"595",595,1,12,26,6,644270.435949018
"596",596,1,6,41,10,1525210.72944845
"597",597,2,2,33,8,564817.17742016
"598",598,2,30,68,16,4072120.71779949
"599",599,1,26,35,8,1406068.64654142
"600",600,2,13,44,11,689066.492201272
"601",601,1,30,26,6,617718.995614871
"602",602,1,5,86,20,5097752.54720251
"603",603,2,2,2,1,0
"604",604,2,2,139,32,9248804.0419901
"605",605,1,3,131,30,9373142.67376306
"606",606,2,22,3,1,6.80229908558203e-19
"607",607,2,19,80,19,4611389.30072811
"608",608,1,7,94,22,6604862.39569828
"609",609,1,25,126,29,8829794.72698637
"610",610,1,9,76,18,4678007.79037718
"611",611,2,4,31,8,308685.157683754
"612",612,1,7,99,23,7252956.08058917
"613",613,2,5,143,33,11359678.3780551
"614",614,1,20,72,17,4055467.8603576
"615",615,2,27,80,19,5488487.13802776
"616",616,1,14,118,27,7089420.99171256
"617",617,1,11,86,20,6060955.08628396
"618",618,2,5,25,6,142076.558536101
"619",619,1,16,126,29,9041503.98714691
"620",620,1,16,95,22,6369144.04791008
"621",621,2,1,87,20,6281296.18842133
"622",622,1,4,8,2,12975.602118872
"623",623,1,20,49,12,2894777.75978477
"624",624,2,13,69,16,3967481.68294601
"625",625,2,11,42,10,869585.60080783
"626",626,1,21,141,33,10187983.6023709
"627",627,2,14,5,2,2.94669933688513e-08
"628",628,1,6,135,31,10264132.5689372
"629",629,2,11,15,4,383.660192733997
"630",630,2,27,38,9,850625.557803701
"631",631,2,7,36,9,727090.859123831
"632",632,2,15,34,8,645402.848285562
"633",633,1,2,25,6,535458.593612443
"634",634,1,26,136,32,8621857.15043769
"635",635,2,21,26,6,162869.943452922
"636",636,2,23,100,23,7093725.04913847
"637",637,2,5,92,21,6121686.32898153
"638",638,2,13,109,25,8301413.80651378
"639",639,1,29,9,3,10712.8663828144
"640",640,1,25,139,32,10830004.8745438
"641",641,2,7,114,27,6173014.78431685
"642",642,2,21,24,6,296446.996346912
"643",643,2,15,79,19,5289338.47227124
"644",644,1,17,128,30,8205605.43872374
"645",645,1,23,145,34,10984097.6945476
"646",646,2,24,30,7,171264.476272741
"647",647,1,16,144,33,10625458.6270498
"648",648,2,8,69,16,3466084.94786291
"649",649,1,28,65,15,4244207.27795687
"650",650,1,14,123,29,8920680.84131901
"651",651,2,9,104,24,7696909.1814076
"652",652,2,8,150,35,11582937.8712152
"653",653,2,9,128,30,9890974.75668832
"654",654,2,14,41,10,1148664.67985515
"655",655,1,12,146,34,9766573.98802933
"656",656,1,4,126,29,9597873.54499692
"657",657,1,7,18,5,282698.588764817
"658",658,2,7,65,15,2465616.27915673
"659",659,1,1,150,35,11459477.349841
"660",660,1,4,148,34,10915969.6525004
"661",661,2,24,121,28,9083842.55377075
"662",662,2,5,66,16,3849124.33120235
"663",663,2,4,76,18,4916831.03901772
"664",664,1,11,82,19,4147602.94397598
"665",665,1,3,35,8,1318750.06509423
"666",666,2,17,4,1,1.49522955163063e-16
